"make","model","model_year","registered_vehicle"
"LUCID","AIR",2023,"151"
"FORD","FUSION",2019,"150"
"MERCEDES-BENZ","GLC-CLASS",2019,"149"
"AUDI","Q5 E",2023,"147"
"POLESTAR","PS2",2021,"146"
"GENESIS","GV60",2023,"144"
"AUDI","Q5",2022,"142"
"KIA","SOUL EV",2017,"142"
"VOLVO","XC40",2024,"139"
"PORSCHE","TAYCAN",2023,"138"
"PORSCHE","TAYCAN",2020,"138"
"MERCEDES-BENZ","GLE-CLASS",2024,"137"
"FORD","TRANSIT",2022,"137"
"VOLVO","C40",2022,"136"
"FORD","ESCAPE",2023,"134"
"FIAT","500",2016,"134"
"BMW","IX",2022,"133"
"BMW","I5",2024,"129"
"TESLA","MODEL S",2012,"129"
"VOLVO","XC60",2018,"128"
"BMW","330E",2023,"126"
"BMW","X5",2025,"125"
"HYUNDAI","IONIQ",2020,"123"
"AUDI","E-TRON",2023,"122"
"VOLKSWAGEN","E-GOLF",2015,"122"
"MINI","HARDTOP",2021,"121"
"GMC","HUMMER EV SUV",2024,"120"
"JAGUAR","I-PACE",2019,"120"
"CHEVROLET","VOLT",2019,"119"
"CHRYSLER","PACIFICA",2019,"115"
"VOLVO","XC60",2019,"114"
"HYUNDAI","KONA ELECTRIC",2022,"113"
"VOLVO","XC90",2017,"111"
"VOLVO","XC90",2016,"108"
"HONDA","CLARITY",2019,"107"
"FIAT","500",2013,"107"
"MERCEDES-BENZ","EQS-CLASS SEDAN",2023,"106"
"BMW","I4",2022,"106"
"LUCID","AIR",2022,"105"
"TOYOTA","PRIUS PLUG-IN",2015,"104"
"HYUNDAI","TUCSON",2023,"103"
"MERCEDES-BENZ","EQS-CLASS SEDAN",2022,"103"
"MINI","COUNTRYMAN",2019,"102"
"MERCEDES-BENZ","EQE-CLASS SEDAN",2023,"101"
"LEXUS","RX",2024,"100"
"VOLVO","XC90",2020,"99"
"BMW","330E",2017,"99"
"MITSUBISHI","OUTLANDER",2020,"98"
"CHEVROLET","SPARK",2015,"98"
"BMW","530E",2019,"95"
"MITSUBISHI","OUTLANDER",2022,"92"
"TOYOTA","PRIUS PRIME",2023,"90"
"VOLVO","XC60",2020,"90"
"VOLVO","XC90",2018,"89"
"FIAT","500",2014,"89"
"AUDI","Q4",2022,"88"
"HONDA","CLARITY",2020,"88"
"BMW","X3",2020,"88"
"CHRYSLER","PACIFICA",2017,"88"
"PORSCHE","TAYCAN",2024,"87"
"JAGUAR","I-PACE",2020,"87"
"BMW","I3",2020,"87"
"CHEVROLET","SPARK",2016,"86"
"ALFA ROMEO","TONALE",2024,"84"
"BMW","330E",2018,"82"
"HYUNDAI","IONIQ",2019,"81"
"MERCEDES-BENZ","EQE-CLASS SUV",2024,"80"
"HYUNDAI","SANTA FE",2022,"79"
"KIA","NIRO",2021,"79"
"FORD","FUSION",2020,"79"
"BMW","330E",2021,"75"
"AUDI","E-TRON SPORTBACK",2022,"74"
"PORSCHE","CAYENNE",2017,"74"
"BMW","IX",2025,"73"
"AUDI","E-TRON GT",2022,"73"
"AUDI","E-TRON SPORTBACK",2021,"73"
"KIA","SORENTO",2024,"72"
"BMW","330E",2022,"72"
"KIA","SOUL EV",2018,"72"
"CHEVROLET","VOLT",2011,"72"
"MITSUBISHI","OUTLANDER",2024,"71"
"TESLA","MODEL 3",2017,"69"
"LEXUS","NX",2025,"68"
"LINCOLN","CORSAIR",2022,"68"
"VOLVO","XC90",2019,"67"
"SUBARU","CROSSTREK",2019,"66"
"SMART","FORTWO ELECTRIC DRIVE",2014,"66"
"FORD","FOCUS",2013,"65"
"PORSCHE","CAYENNE",2019,"64"
"ACURA","ZDX",2024,"61"
"CADILLAC","LYRIQ",2023,"61"
"BMW","530E",2023,"61"
"PORSCHE","CAYENNE",2016,"61"
"LINCOLN","AVIATOR",2023,"60"
"CADILLAC","ELR",2014,"60"
"NISSAN","LEAF",2025,"59"
"VOLKSWAGEN","E-GOLF",2017,"59"
"CHEVROLET","SPARK",2014,"59"
"FORD","ESCAPE",2021,"57"
"PORSCHE","PANAMERA",2018,"57"
"FIAT","500",2018,"55"
"MINI","COUNTRYMAN",2018,"54"
"FORD","FOCUS",2014,"54"
"AUDI","E-TRON GT",2023,"53"
"LEXUS","NX",2022,"52"
"KIA","OPTIMA",2017,"52"
"GENESIS","GV70",2024,"51"
"GENESIS","GV60",2024,"51"
"MERCEDES-BENZ","EQB-CLASS",2022,"51"
"VOLVO","XC60",2025,"50"
"FORD","ESCAPE",2024,"49"
"VOLVO","V60",2024,"49"
"BMW","I3",2021,"49"
"LUCID","AIR",2024,"48"
"HYUNDAI","TUCSON",2022,"48"
"HYUNDAI","KONA",2019,"48"
"MERCEDES-BENZ","EQE-CLASS SEDAN",2024,"47"
"VOLVO","S60",2022,"46"
"KIA","SORENTO",2025,"45"
"SMART","FORTWO ELECTRIC DRIVE",2015,"45"
"HYUNDAI","IONIQ",2021,"44"
"SMART","EQ FORTWO",2018,"44"
"LINCOLN","AVIATOR",2020,"43"
"HYUNDAI","SONATA",2016,"43"
"BMW","330E",2024,"42"
"LINCOLN","AVIATOR",2021,"42"
"LINCOLN","AVIATOR",2022,"41"
"VOLKSWAGEN","E-GOLF",2018,"40"
"MITSUBISHI","I-MIEV",2012,"40"
"GMC","HUMMER EV PICKUP",2024,"38"
"VOLVO","S60",2021,"38"
"PORSCHE","CAYENNE",2024,"36"
"BMW","530E",2021,"35"
"MERCEDES-BENZ","GLC-CLASS",2020,"35"
"FORD","FOCUS",2015,"35"
"MAZDA","CX-70",2025,"34"
"MERCEDES-BENZ","EQB-CLASS",2024,"34"
"FORD","FOCUS",2016,"34"
"VOLVO","S60",2024,"33"
"PORSCHE","CAYENNE",2023,"33"
"KIA","OPTIMA",2018,"33"
"SMART","FORTWO",2017,"33"
"BMW","530E",2022,"32"
"PORSCHE","CAYENNE",2022,"32"
"PORSCHE","CAYENNE",2020,"31"
"BMW","I8",2015,"31"
"VOLVO","S60",2023,"30"
"HYUNDAI","SONATA",2017,"30"
"TOYOTA","RAV4",2014,"30"
"LAND ROVER","RANGE ROVER SPORT",2020,"29"
"BMW","I7",2024,"28"
"MERCEDES-BENZ","EQS-CLASS SUV",2024,"28"
"MINI","COUNTRYMAN",2023,"28"
"LINCOLN","CORSAIR",2023,"27"
"AUDI","E-TRON SPORTBACK",2020,"27"
"PORSCHE","CAYENNE",2021,"26"
"HONDA","CLARITY",2021,"26"
"VOLVO","C40",2024,"25"
"BMW","I8",2019,"25"
"PORSCHE","CAYENNE",2018,"25"
"FORD","FOCUS",2017,"25"
"MERCEDES-BENZ","B-CLASS",2014,"25"
"LEXUS","NX",2023,"24"
"MERCEDES-BENZ","GLE-CLASS",2018,"24"
"SMART","FORTWO",2016,"24"
"FIAT","500E",2024,"23"
"LINCOLN","CORSAIR",2024,"23"
"AUDI","E-TRON GT",2024,"23"
"SMART","FORTWO ELECTRIC DRIVE",2013,"23"
"MERCEDES-BENZ","GLC-CLASS",2018,"22"
"MERCEDES-BENZ","B-CLASS",2016,"22"
"TESLA","ROADSTER",2008,"22"
"HYUNDAI","IONIQ 5 N",2025,"21"
"VOLVO","S90",2018,"21"
"MERCEDES-BENZ","B-CLASS",2015,"21"
"TESLA","ROADSTER",2010,"21"
"MERCEDES-BENZ","EQS-CLASS SEDAN",2024,"20"
"BMW","I7",2023,"20"
"AUDI","RS E-TRON GT",2022,"20"
"HYUNDAI","IONIQ",2018,"20"
"MERCEDES-BENZ","B-CLASS",2017,"20"
"KIA","SOUL",2015,"20"
"MINI","COUNTRYMAN",2022,"19"
"CADILLAC","ELR",2016,"19"
"BMW","I8",2016,"19"
"BMW","740E",2018,"18"
"GENESIS","GV70",2023,"17"
"JAGUAR","I-PACE",2022,"17"
"BMW","530E",2020,"17"
"AUDI","SQ8",2024,"16"
"HYUNDAI","IONIQ",2022,"16"
"MINI","HARDTOP",2020,"16"
"HYUNDAI","IONIQ",2017,"16"
"PORSCHE","PANAMERA",2015,"16"
"PORSCHE","TAYCAN",2025,"15"
"GENESIS","G80",2023,"15"
"FIAT","500",2019,"15"
"PORSCHE","CAYENNE",2015,"15"
"VOLVO","XC90",2025,"14"
"BMW","XM",2024,"14"
"PORSCHE","PANAMERA",2023,"14"
"AUDI","RS E-TRON GT",2023,"14"
"TOYOTA","RAV4",2013,"14"
"KIA","SPORTAGE",2025,"13"
"KIA","OPTIMA",2020,"13"
"FISKER","KARMA",2012,"13"
"LEXUS","TX",2024,"11"
"MINI","COUNTRYMAN",2021,"11"
"AUDI","A7 E",2021,"11"
"BMW","745E",2020,"11"
"VOLVO","S60",2020,"11"
"VOLVO","S60",2019,"11"
"SMART","EQ FORTWO",2019,"11"
"HONDA","ACCORD",2014,"11"
"BMW","I8",2014,"11"
"VOLVO","V60",2023,"10"
"PORSCHE","PANAMERA",2022,"10"
"LAND ROVER","RANGE ROVER",2020,"10"
"MERCEDES-BENZ","GLE-CLASS",2017,"10"
"PORSCHE","PANAMERA",2016,"10"
"MERCEDES-BENZ","GLE-CLASS",2016,"10"
"FORD","FOCUS",2012,"10"
"HYUNDAI","KONA ELECTRIC",2025,"9"
"LAND ROVER","RANGE ROVER SPORT",2024,"9"
"PORSCHE","PANAMERA",2020,"9"
"PORSCHE","PANAMERA",2019,"9"
"MERCEDES-BENZ","C-CLASS",2018,"9"
"BMW","330E",2016,"9"
"PORSCHE","PANAMERA",2014,"9"
"TOYOTA","RAV4",2012,"9"
"AUDI","RS E-TRON GT",2024,"8"
"MAZDA","MX-30",2022,"8"
"PORSCHE","PANAMERA",2021,"8"
"CADILLAC","CT6",2018,"8"
"BMW","740E",2017,"8"
"MITSUBISHI","I-MIEV",2016,"8"
"MITSUBISHI","I-MIEV",2014,"8"
"BMW","I5",2025,"7"
"GMC","HUMMER EV SUV",2025,"7"
"LAND ROVER","RANGE ROVER",2024,"7"
"JAGUAR","I-PACE",2024,"7"
"MERCEDES-BENZ","S-CLASS",2017,"7"
"FORD","RANGER",2000,"7"
"VOLVO","V60",2025,"6"
"VOLVO","S90",2024,"6"
"JAGUAR","I-PACE",2023,"6"
"MITSUBISHI","OUTLANDER",2021,"6"
"LAND ROVER","RANGE ROVER SPORT",2021,"6"
"HYUNDAI","SONATA",2019,"6"
"FORD","FOCUS",2018,"6"
"MERCEDES-BENZ","C-CLASS",2017,"6"
"BMW","I8",2017,"6"
"HONDA","CR-V",2013,"6"
"TESLA","ROADSTER",2011,"6"
"FORD","TRANSIT",2024,"5"
"MERCEDES-BENZ","S-CLASS",2024,"5"
"VOLVO","V60",2022,"5"
"VOLVO","V60",2021,"5"
"VOLVO","S90",2019,"5"
"TH!NK","CITY",2011,"5"
"VOLVO","S60",2025,"4"
"VOLVO","EX40",2025,"4"
"LAND ROVER","RANGE ROVER",2023,"4"
"LAND ROVER","RANGE ROVER SPORT",2023,"4"
"LINCOLN","CORSAIR",2021,"4"
"VOLVO","V60",2020,"4"
"BMW","740E",2019,"4"
"MERCEDES-BENZ","C-CLASS",2016,"4"
"AZURE DYNAMICS","TRANSIT CONNECT ELECTRIC",2011,"4"
"MINI","COUNTRYMAN",2025,"3"
"MERCEDES-BENZ","ESPRINTER",2024,"3"
"LAND ROVER","RANGE ROVER",2021,"3"
"AUDI","A8 E",2020,"3"
"KIA","SOUL EV",2019,"3"
"CADILLAC","CT6",2017,"3"
"WHEEGO ELECTRIC CARS","WHEEGO",2010,"3"
"GMC","HUMMER EV PICKUP",2025,"2"
"RIVIAN","R1T",2025,"2"
"BMW","750E",2024,"2"
"RAM","PROMASTER 3500",2024,"2"
"GENESIS","G80",2024,"2"
"ROLLS-ROYCE","SPECTRE",2024,"2"
"MAZDA","MX-30",2023,"2"
"VOLVO","S90",2023,"2"
"BENTLEY","FLYING SPUR",2022,"2"
"BMW","745LE",2022,"2"
"MINI","COUNTRYMAN",2020,"2"
"VOLVO","S90",2020,"2"
"KIA","OPTIMA",2019,"2"
"MERCEDES-BENZ","S-CLASS",2016,"2"
"MERCEDES-BENZ","S-CLASS",2015,"2"
"TOYOTA","RAV4",2002,"2"
"FORD","RANGER",1999,"2"
"GENESIS","GV70",2025,"1"
"MAZDA","CX-90",2025,"1"
"BENTLEY","BENTAYGA",2024,"1"
"VINFAST","VF 8",2023,"1"
"BENTLEY","BENTAYGA",2023,"1"
"BMW","745E",2021,"1"
"BENTLEY","BENTAYGA",2021,"1"
"MITSUBISHI","I-MIEV",2017,"1"
"PORSCHE","918",2015,"1"
"TOYOTA","RAV4",2003,"1"
